fact,member_url,validation_ms,storage_queue_ms,storage_callback_ms,storage_return_ms,vote_sign_ms
62e822dd8721d5d4e5b1dd3ea6e507d7e30de598dadfbd462056d74d6d5acb58,http://127.0.0.1:28000,19.746458,31.015542,0.053208,28.547125,0.013417
62e822dd8721d5d4e5b1dd3ea6e507d7e30de598dadfbd462056d74d6d5acb58,http://127.0.0.1:28001,1.795417,17.797,0.044792,45.957375,0.013458
62e822dd8721d5d4e5b1dd3ea6e507d7e30de598dadfbd462056d74d6d5acb58,http://127.0.0.1:28003,14.43775,4.353584,0.043583,33.774083,0.013292
2e1abf0c3e811e19754126ef19d2ccb87457218e16a3648e1576a8f38c9da0bc,http://127.0.0.1:28000,18.31725,19.838584,0.0455,27.543541,0.0155
2e1abf0c3e811e19754126ef19d2ccb87457218e16a3648e1576a8f38c9da0bc,http://127.0.0.1:28001,3.039625,17.11375,0.053167,48.359625,0.013375
2e1abf0c3e811e19754126ef19d2ccb87457218e16a3648e1576a8f38c9da0bc,http://127.0.0.1:28003,15.246208,26.834458,0.082625,36.586083,0.013375
012a77aff4936fecc855165f1a938ce5b6329709dfbab789ab3545568249fe2a,http://127.0.0.1:28003,13.322125,27.741875,0.24125,37.479209,0.031
012a77aff4936fecc855165f1a938ce5b6329709dfbab789ab3545568249fe2a,http://127.0.0.1:28001,13.386542,14.526958,0.090125,17.718167,0.015458
012a77aff4936fecc855165f1a938ce5b6329709dfbab789ab3545568249fe2a,http://127.0.0.1:28000,2.063875,20.243042,0.047708,28.03475,0.013667
a22ae6f3fc6484bbe3b727e4bc3bb0b1cf44240eff7df1527b6aeed7dff83409,http://127.0.0.1:28000,15.29975,20.775458,0.048,29.612125,0.017417
a22ae6f3fc6484bbe3b727e4bc3bb0b1cf44240eff7df1527b6aeed7dff83409,http://127.0.0.1:28001,14.407166,17.852375,0.097583,48.760125,0.013542
a22ae6f3fc6484bbe3b727e4bc3bb0b1cf44240eff7df1527b6aeed7dff83409,http://127.0.0.1:28003,1.09575,4.411292,0.043333,33.887167,0.013458
065bacb855d29078258730d477552827cc114387bce10dcaf2f0d6fb1c770bf0,http://127.0.0.1:28000,0.463542,18.372583,5.1245,17.743125,0.019583
065bacb855d29078258730d477552827cc114387bce10dcaf2f0d6fb1c770bf0,http://127.0.0.1:28001,1.475375,17.527875,0.047,46.253958,0.013417
065bacb855d29078258730d477552827cc114387bce10dcaf2f0d6fb1c770bf0,http://127.0.0.1:28003,0.605833,26.730375,0.049375,36.676792,0.013166
a5f3b9767e23be54da7067e51a34052686dd2fba499cd65b9a83131cc9dcf469,http://127.0.0.1:28000,18.633791,29.907458,0.08175,29.90125,0.014625
a5f3b9767e23be54da7067e51a34052686dd2fba499cd65b9a83131cc9dcf469,http://127.0.0.1:28001,1.629625,17.188583,0.043958,47.587542,0.013667
a5f3b9767e23be54da7067e51a34052686dd2fba499cd65b9a83131cc9dcf469,http://127.0.0.1:28003,23.673791,4.237625,0.045625,35.6005,0.013334
d52bdf761b7543f70c10545cb8c860dbb2669f7d75158859238c70cafaac30f3,http://127.0.0.1:28003,15.579375,26.694834,0.059875,36.736958,0.01325
d52bdf761b7543f70c10545cb8c860dbb2669f7d75158859238c70cafaac30f3,http://127.0.0.1:28001,0.434541,17.76475,0.042166,45.757,0.013209
d52bdf761b7543f70c10545cb8c860dbb2669f7d75158859238c70cafaac30f3,http://127.0.0.1:28000,0.643292,20.370833,0.045042,29.799417,0.013916
82a75e58e3c6659cbfab67d6b8c55cdd98f3c5c892250aaa4c5d6a4517b482ba,http://127.0.0.1:28000,20.028666,30.992875,0.051334,28.664333,0.013667
82a75e58e3c6659cbfab67d6b8c55cdd98f3c5c892250aaa4c5d6a4517b482ba,http://127.0.0.1:28001,4.018875,17.627541,0.042792,46.02825,0.016458
82a75e58e3c6659cbfab67d6b8c55cdd98f3c5c892250aaa4c5d6a4517b482ba,http://127.0.0.1:28003,24.273542,4.356458,0.044417,33.949125,0.013125
5292673d42fde21b44f2fa6415ea12df70b2cd1d2de155ce16ea10370c896668,http://127.0.0.1:28003,1.808959,25.900209,0.053083,22.072958,2.133667
5292673d42fde21b44f2fa6415ea12df70b2cd1d2de155ce16ea10370c896668,http://127.0.0.1:28001,4.468125,17.421875,0.0495,46.502041,0.013292
5292673d42fde21b44f2fa6415ea12df70b2cd1d2de155ce16ea10370c896668,http://127.0.0.1:28000,0.459125,18.313,0.09825,17.69625,0.014542
97859d4c6e32564c97555d0abc89f72da9a6de8855860558798088940a718d54,http://127.0.0.1:28000,0.558791,0.042541,0.662667,18.85025,1.635167
97859d4c6e32564c97555d0abc89f72da9a6de8855860558798088940a718d54,http://127.0.0.1:28001,14.104041,17.615625,0.231542,48.832541,0.013625
97859d4c6e32564c97555d0abc89f72da9a6de8855860558798088940a718d54,http://127.0.0.1:28003,0.463542,25.764375,0.049125,22.01975,1.9155
2d4b876896d57d9272ed523058223d371c86f677adb7deb869da6f90a96d14ab,http://127.0.0.1:28000,0.815292,18.536,0.121958,22.869083,0.015459
2d4b876896d57d9272ed523058223d371c86f677adb7deb869da6f90a96d14ab,http://127.0.0.1:28001,1.0465,17.593209,0.047458,46.188667,0.01325
2d4b876896d57d9272ed523058223d371c86f677adb7deb869da6f90a96d14ab,http://127.0.0.1:28003,34.968167,16.663167,0.047333,36.136667,0.013375
ad9519cdf9e2e0265ac79f99cc44f4e39ad9daa91071f54e94c8e4c6df8d6d62,http://127.0.0.1:28002,23.35575,12.578417,3.725083,15.179542,0.015167
ad9519cdf9e2e0265ac79f99cc44f4e39ad9daa91071f54e94c8e4c6df8d6d62,http://127.0.0.1:28001,0.447666,1.591541,0.05475,17.5865,0.016709
ad9519cdf9e2e0265ac79f99cc44f4e39ad9daa91071f54e94c8e4c6df8d6d62,http://127.0.0.1:28000,16.123,20.337042,0.123667,29.117541,0.34975
93a16f087260b1ca86f46cf244eb663af73c2c219fdc629a83da4d9f3de7b2ec,http://127.0.0.1:28000,0.444042,20.194375,0.045584,28.034375,0.014916
93a16f087260b1ca86f46cf244eb663af73c2c219fdc629a83da4d9f3de7b2ec,http://127.0.0.1:28001,1.470167,16.940167,0.042208,47.078917,0.013375
93a16f087260b1ca86f46cf244eb663af73c2c219fdc629a83da4d9f3de7b2ec,http://127.0.0.1:28003,13.000833,4.225917,0.044625,35.055917,0.01325
9dcc482fe61e9cbe7580ad397185d73f574a2c5fedd9f669cc79a1c4c84d1294,http://127.0.0.1:28003,0.972958,0.028334,1.104166,22.455459,2.001166
9dcc482fe61e9cbe7580ad397185d73f574a2c5fedd9f669cc79a1c4c84d1294,http://127.0.0.1:28001,3.2465,17.210083,0.180833,46.562167,0.013542
9dcc482fe61e9cbe7580ad397185d73f574a2c5fedd9f669cc79a1c4c84d1294,http://127.0.0.1:28000,1.462125,20.235625,0.055459,28.661458,0.013333
ba62e52739fb7f0b8f0c089afa893544ae369c6dde68ac27bdfba8cde325c695,http://127.0.0.1:28000,3.863792,20.096542,0.04525,28.511208,0.365708
ba62e52739fb7f0b8f0c089afa893544ae369c6dde68ac27bdfba8cde325c695,http://127.0.0.1:28001,3.655292,17.864417,0.043708,45.8115,0.038084
ba62e52739fb7f0b8f0c089afa893544ae369c6dde68ac27bdfba8cde325c695,http://127.0.0.1:28003,0.511917,16.540333,0.047584,35.660041,0.014584
5d822ace73bc8c23b15b1ef6a75154de894b76a9735d990afbd10b4e9dec2f6b,http://127.0.0.1:28000,1.004584,19.908791,0.044084,27.558416,0.015584
5d822ace73bc8c23b15b1ef6a75154de894b76a9735d990afbd10b4e9dec2f6b,http://127.0.0.1:28001,2.067208,17.21175,0.047166,47.274167,0.017042
5d822ace73bc8c23b15b1ef6a75154de894b76a9735d990afbd10b4e9dec2f6b,http://127.0.0.1:28003,13.144209,5.004375,0.045875,34.104917,0.0135
a7588df0ab79bc77cf4ed55d6761178d9a562205353e20265a9ac40d959212c8,http://127.0.0.1:28000,0.700209,20.322458,0.045375,29.488584,0.015041
a7588df0ab79bc77cf4ed55d6761178d9a562205353e20265a9ac40d959212c8,http://127.0.0.1:28001,14.239334,17.889375,0.107209,48.672708,0.013333
a7588df0ab79bc77cf4ed55d6761178d9a562205353e20265a9ac40d959212c8,http://127.0.0.1:28003,1.734584,37.399375,0.054166,20.715959,0.022375
b042b086ed3248e1b8101c91230a86f05afe5040110740020d0605cec3426d0a,http://127.0.0.1:28000,19.764541,30.958042,0.059125,28.766833,0.114375
