transaction,logical_updates,changed,write_sync_ms,commit_ms
0,1,True,19.287,19.33
1,1,True,17.132875,28.289
2,1,True,50.791708,50.81
3,1,True,14.925667,14.935
4,1,True,14.97925,14.987
5,1,True,15.985875,15.997
6,1,True,13.002708,13.016
7,1,True,13.906583,13.912
8,1,True,12.933875,12.976
9,1,True,12.972708,23.921
10,1,True,6.959458,6.966
11,1,True,7.989459,7.998
12,1,True,19.018666,19.025
13,1,True,23.956417,23.963
14,1,True,25.886959,25.9
15,1,True,13.997541,14.009
16,1,True,15.884958,15.893
17,1,True,18.021041,18.027
18,1,True,18.934,18.946
19,1,True,11.903958,11.911
20,1,True,11.968,11.974
21,1,True,10.993292,11.001
22,1,True,11.948416,11.955
23,1,True,14.013042,14.022
24,1,True,10.899917,10.911
25,1,True,14.971334,14.978
26,1,True,13.994167,14.004
27,1,True,11.90325,11.914
28,1,True,35.001708,35.013
29,1,True,29.981625,29.991
30,1,True,17.9045,17.914
31,1,True,23.946375,23.957
32,1,True,22.96375,22.97
33,1,True,15.938166,15.945
34,1,True,14.932917,14.973
35,1,True,15.081459,19.021
36,1,True,15.934583,15.942
37,1,True,15.003417,15.012
38,1,True,13.862875,13.871
39,1,True,15.983458,15.989
40,1,True,27.101041,27.114
41,1,True,19.843917,19.852
42,1,True,19.854916,19.868
43,1,True,23.019041,23.031
44,1,True,13.984292,13.991
45,1,True,15.905291,15.916
46,1,True,13.967333,13.973
47,1,True,11.924,11.93
48,1,True,11.981,11.988
49,1,True,11.076375,11.086
50,1,True,7.860666,7.866
51,1,True,7.94725,7.957
52,1,True,7.981125,7.99
53,1,True,7.983083,7.988
54,1,True,7.953,7.96
55,1,True,7.958458,7.964
56,1,True,7.942958,7.95
57,1,True,7.992375,7.999
58,1,True,7.971709,7.983
59,1,True,8.008583,8.013
60,1,True,7.910333,7.916
61,1,True,7.990917,7.997
62,1,True,17.994375,18.0
63,1,True,20.937875,20.953
64,1,True,17.908667,17.916
65,1,True,17.023625,17.03
66,1,True,11.903458,11.91
67,1,True,7.963375,7.969
68,1,True,7.947417,7.959
69,1,True,7.8735,7.879
70,1,True,8.270292,8.279
71,1,True,27.598417,27.607
72,1,True,12.970875,12.976
73,1,True,11.937417,11.943
74,1,True,16.010375,16.017
75,1,True,14.658208,14.667
76,1,True,11.960417,11.967
77,1,True,32.039208,32.045
78,1,True,28.96875,28.974
79,1,True,28.942584,28.95
80,1,True,28.42175,28.434
81,1,True,25.602292,25.609
82,1,True,15.9855,15.992
83,1,True,12.984167,12.99
84,1,True,14.694333,14.702
85,1,True,14.903,14.91
86,1,True,14.946042,14.962
87,1,True,21.034917,21.041
88,1,True,25.898084,25.908
89,1,True,55.018375,55.023
90,1,True,19.890375,19.898
91,1,True,18.013292,18.02
92,1,True,36.770208,36.79
93,1,True,36.67925,36.71
94,1,True,16.825042,16.832
95,1,True,17.942791,17.948
96,1,True,16.982916,16.99
97,1,True,14.016041,14.021
98,1,True,24.690375,24.697
99,1,True,33.191084,33.197
100,1,True,19.819917,19.825
101,1,True,20.031541,20.038
102,1,True,28.498542,28.51
103,1,True,14.94925,14.955
104,1,True,38.958625,38.967
105,1,True,20.055709,20.063
106,1,True,21.44925,21.467
107,1,True,33.401542,33.411
108,1,True,13.959666,13.967
109,1,True,18.932708,18.949
110,1,True,23.799958,23.806
111,1,True,17.926416,17.933
112,1,True,20.965708,20.975
113,1,True,33.91775,33.928
114,1,True,19.972709,19.984
115,1,True,16.976583,16.983
116,1,True,15.858375,15.865
117,1,True,14.03375,14.051
118,1,True,18.971625,18.98
119,1,True,14.931708,14.941
120,1,True,17.947833,17.957
121,1,True,17.799708,17.822
122,1,True,23.997791,24.006
123,1,True,34.902584,34.911
